Year,Anomaly
1850,-0.43566666666666665
1851,-0.32075000000000004
1852,-0.29225
1853,-0.29450000000000004
1854,-0.2833333333333333
1855,-0.27825
1856,-0.39633333333333337
1857,-0.5378333333333333
1858,-0.33416666666666667
1859,-0.22224999999999998
1860,-0.3780833333333333
1861,-0.4555
1862,-0.5539999999999999
1863,-0.31275000000000003
1864,-0.34525
1865,-0.25133333333333335
1866,-0.211
1867,-0.16641666666666668
1868,-0.21050000000000002
1869,-0.21775
1870,-0.28775
1871,-0.32125
1872,-0.28475
1873,-0.2539166666666667
1874,-0.3015833333333333
1875,-0.34625
1876,-0.3495
1877,0.028083333333333335
1878,0.11908333333333332
1879,-0.23316666666666666
1880,-0.29916666666666664
1881,-0.18316666666666667
1882,-0.2508333333333333
1883,-0.3045
1884,-0.47150000000000003
1885,-0.43975000000000003
1886,-0.4644166666666667
1887,-0.5007499999999999
1888,-0.29433333333333334
1889,-0.1725833333333333
1890,-0.4615
1891,-0.345
1892,-0.40599999999999997
1893,-0.38083333333333336
1894,-0.37483333333333335
1895,-0.31433333333333335
1896,-0.22524999999999998
1897,-0.20950000000000002
1898,-0.41183333333333333
1899,-0.24183333333333334
1900,-0.13458333333333333
1901,-0.21150000000000002
1902,-0.3719166666666667
1903,-0.47141666666666665
1904,-0.5265833333333333
1905,-0.34391666666666665
1906,-0.2614166666666667
1907,-0.43166666666666664
1908,-0.45125
1909,-0.5135
1910,-0.4730833333333333
1911,-0.48333333333333334
1912,-0.4078333333333333
1913,-0.3801666666666667
1914,-0.19516666666666668
1915,-0.14116666666666666
1916,-0.37675
1917,-0.5245833333333333
1918,-0.3595833333333333
1919,-0.29491666666666666
1920,-0.24050000000000002
1921,-0.18508333333333335
1922,-0.27116666666666667
1923,-0.23641666666666664
1924,-0.24725
1925,-0.2021666666666667
1926,-0.06758333333333334
1927,-0.18383333333333332
1928,-0.17508333333333334
1929,-0.35908333333333337
1930,-0.12916666666666668
1931,-0.06799999999999999
1932,-0.10841666666666666
1933,-0.30316666666666664
1934,-0.15425
1935,-0.21533333333333335
1936,-0.147
1937,0.010083333333333331
1938,0.017
1939,-0.0036666666666666653
1940,0.0775
1941,0.03375
1942,0.04408333333333333
1943,0.09866666666666668
1944,0.20199999999999999
1945,0.07358333333333333
1946,-0.072
1947,-0.0032500000000000016
1948,-0.09683333333333333
1949,-0.10616666666666667
1950,-0.17033333333333334
1951,0.009333333333333332
1952,0.08166666666666667
1953,0.15558333333333332
1954,-0.04083333333333333
1955,-0.09325
1956,-0.17866666666666667
1957,0.050749999999999997
1958,0.05525
1959,0.03891666666666666
1960,-0.01891666666666667
1961,0.0545
1962,-0.001333333333333333
1963,0.042583333333333334
1964,-0.22024999999999997
1965,-0.10175000000000001
1966,-0.03916666666666666
1967,-0.009250000000000003
1968,-0.08516666666666667
1969,0.06183333333333333
1970,0.01525
1971,-0.10208333333333335
1972,0.00708333333333333
1973,0.142
1974,-0.06308333333333334
1975,0.003666666666666663
1976,-0.09216666666666666
1977,0.2384166666666667
1978,0.11258333333333333
1979,0.18699999999999997
1980,0.3085833333333333
1981,0.35933333333333334
1982,0.14291666666666666
1983,0.3229166666666667
1984,0.15708333333333332
1985,0.15316666666666667
1986,0.20941666666666667
1987,0.34874999999999995
1988,0.39116666666666666
1989,0.27666666666666667
1990,0.46458333333333335
1991,0.45341666666666663
1992,0.24508333333333332
1993,0.3016666666666667
1994,0.3505833333333333
1995,0.5085000000000001
1996,0.39666666666666667
1997,0.5374166666666667
1998,0.6865833333333334
1999,0.44508333333333333
2000,0.44508333333333333
2001,0.5794166666666667
2002,0.6725
2003,0.65475
2004,0.56775
2005,0.7324166666666666
2006,0.6823333333333333
2007,0.6971666666666666
2008,0.5693333333333334
2009,0.7061666666666667
2010,0.7766666666666667
2011,0.6680833333333333
2012,0.6876666666666668
2013,0.7053333333333334
2014,0.7785833333333333
2015,0.923
2016,1.0585
2017,0.9618333333333333
2018,0.8878333333333334
2019,1.024
2020,1.0490833333333334
2021,0.89475
2022,0.9362499999999999
2023,1.22875
2024,1.3105833333333334
