lon,lat,kg_class,bio5,bio14,elevation,presence
125.617,10.35,1.0,30.2,153.0,319.71204,1
125.2777,11.8131,1.0,30.3,176.0,225.70639,1
125.8793,8.40218,1.0,32.2,219.0,23.065746,1
125.36723,11.20745,1.0,30.4,154.0,214.57887,1
125.27,11.82,1.0,30.4,176.0,215.88963,1
122.065214,6.968717,1.0,31.5,54.0,181.98131,1
124.27911,9.76375,1.0,31.1,64.0,404.08395,1
124.6217,5.997,1.0,32.8,83.0,17.543295,1
125.9863,8.4731,1.0,30.6,220.0,384.03128,1
122.067,6.977,1.0,31.5,53.0,160.60414,1
124.84216,10.74136,1.0,29.2,147.0,513.0256,1
125.699997,6.1167,1.0,31.9,91.0,195.37146,1
125.8,7.8667,1.0,31.6,167.0,127.9553,1
125.60694,7.0722,1.0,33.0,109.0,10.883913,1
123.933334,12.8333,1.0,31.3,136.0,222.17197,1
125.8141652,7.4501632,1.0,32.6,155.0,22.611393,1
125.699997,6.15,1.0,32.5,81.0,31.923145,1
124.8834,12.15,1.0,31.5,148.0,40.752888,1
125.650002,5.95,1.0,32.1,89.0,142.17767,1
125.2444327,6.1095341,1.0,34.1,60.0,11.284822,1
125.400002,6.6,1.0,33.1,99.0,26.157713,1
125.3,7.09999,15.0,25.5,152.0,1605.587,1
126.11068,9.01454,1.0,31.7,168.0,83.00529,1
122.14083,6.66083,1.0,31.9,66.0,15.683906,1
126.0686,8.88867,1.0,32.2,178.0,16.93654,1
123.85214,9.66537,1.0,32.9,50.0,12.027175,1
124.085229,9.751242,1.0,31.6,58.0,319.48682,1
124.347486,9.870442,1.0,32.7,59.0,133.72292,1
124.077277,9.790241,1.0,32.0,56.0,224.0286,1
122.14949,7.20551,1.0,30.2,60.0,454.83698,1
124.197051,9.696272,1.0,31.0,63.0,421.4032,1
124.547778,6.302778,1.0,29.3,100.0,924.1272,1
123.941531,9.692796,1.0,32.7,53.0,94.26521,1
125.0,8.0,1.0,31.2,109.0,648.6905,1
123.25,8.5,1.0,32.4,78.0,49.594692,1
124.333,9.75,1.0,29.2,85.0,804.09033,1
125.0976,8.823,1.0,32.6,116.0,12.224733,1
124.83348,10.946888,1.0,31.0,156.0,194.29982,1
125.039001,7.1083,1.0,33.0,98.0,121.66407,1
125.2121,12.0369,1.0,29.8,178.0,324.39725,1
125.61093,10.12393,1.0,31.0,150.0,206.76552,1
