species,lon,lat,year,basis,gbifID
Pteropus vampyrus,121.35629,15.03825,1908.0,PRESERVED_SPECIMEN,476852032
Pteropus vampyrus,121.216667,14.166667,1929.0,PRESERVED_SPECIMEN,1039520606
Pteropus vampyrus,121.216667,14.166667,1929.0,PRESERVED_SPECIMEN,1039523816
Pteropus vampyrus,121.9167,7.0,1929.0,PRESERVED_SPECIMEN,665802993
Pteropus vampyrus,124.488895,10.0475,1930.0,PRESERVED_SPECIMEN,1039525951
Pteropus vampyrus,120.79469,17.62291,1937.0,PRESERVED_SPECIMEN,476836787
Pteropus vampyrus,120.79469,17.62291,1937.0,PRESERVED_SPECIMEN,476832123
Pteropus vampyrus,120.79469,17.62291,1937.0,PRESERVED_SPECIMEN,476821145
Pteropus vampyrus,120.79469,17.62291,1937.0,PRESERVED_SPECIMEN,476855217
Pteropus vampyrus,120.79469,17.62291,1937.0,PRESERVED_SPECIMEN,476828729
Pteropus vampyrus,122.06966,6.90736,1937.0,PRESERVED_SPECIMEN,476835841
Pteropus vampyrus,120.79469,17.62291,1937.0,PRESERVED_SPECIMEN,476821144
Pteropus vampyrus,122.39795,11.86955,1937.0,PRESERVED_SPECIMEN,476835842
Pteropus vampyrus,122.06966,6.90736,1937.0,PRESERVED_SPECIMEN,476821147
Pteropus vampyrus,122.06966,6.90736,1937.0,PRESERVED_SPECIMEN,476855218
Pteropus vampyrus,124.83,10.13,1941.0,PRESERVED_SPECIMEN,1065333439
Pteropus vampyrus,120.8334,17.5834,1946.0,PRESERVED_SPECIMEN,665768458
Pteropus vampyrus,125.8,7.8667,1946.0,PRESERVED_SPECIMEN,665825475
Pteropus vampyrus,120.8334,17.5834,1946.0,PRESERVED_SPECIMEN,665768457
Pteropus vampyrus,125.8,7.8667,1946.0,PRESERVED_SPECIMEN,665825479
Pteropus vampyrus,125.8,7.8667,1946.0,PRESERVED_SPECIMEN,665825480
Pteropus vampyrus,125.8141672,7.4501662,1946.0,PRESERVED_SPECIMEN,665926074
Pteropus vampyrus,124.25,7.2834,1946.0,PRESERVED_SPECIMEN,665763173
Pteropus vampyrus,125.8141672,7.4501662,1946.0,PRESERVED_SPECIMEN,665766314
Pteropus vampyrus,125.8141672,7.4501662,1946.0,PRESERVED_SPECIMEN,665766305
Pteropus vampyrus,125.8141672,7.4501662,1946.0,PRESERVED_SPECIMEN,665765331
